timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662384433967,12,homepage,200,OK,10.128.2.131-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,12,0,11
1662384433950,35,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,35,0,25
1662384433971,15,homepage,200,OK,10.128.2.129-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,15,0,10
1662384434041,1,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434043,1,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,0
1662384434045,1,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,0,0,0
1662384434046,1,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434048,4,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,0
1662384434053,2,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,2,0,0
1662384434056,16,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,16,0,0
1662384434073,9,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,9,0,1
1662384434083,1,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434085,1,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,1,0,1
1662384434087,4,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,4,0,0
1662384434092,25,homepage,200,OK,10.128.2.130-Thread Group 1-1,text,true,,37692,398,1,1,http://nginx-sample.nginx:8080/,24,0,0
